issue_number,draw_date,red_ball_1,red_ball_2,red_ball_3,red_ball_4,red_ball_5,red_ball_6,blue_ball_1,sales_amount,jackpot_amount
23071,127,5,12,15,19,24,26,6,5979075,
23070,110,3,5,25,31,32,33,4,0,
23069,129,12,14,17,20,21,26,2,9116836,
23068,96,11,12,15,18,29,33,2,10000000,
23067,220,1,3,12,19,28,32,14,9921068,
23066,175,2,7,8,10,26,31,6,5976728,
23065,128,2,14,17,20,26,33,14,7757758,
23064,252,1,7,11,12,16,18,4,5891656,
23063,172,4,8,17,20,22,27,13,10000000,
23062,100,11,19,23,24,26,33,15,10000000,
23061,163,1,4,6,11,12,22,15,10000000,
23060,108,9,11,17,19,30,31,11,8459942,
23059,184,2,6,13,22,27,32,6,5520970,
23058,76,10,17,22,26,30,33,11,9936554,
23057,202,2,5,10,17,24,32,3,5868194,
23056,91,8,14,15,18,23,33,8,6477200,
23055,66,3,4,20,23,27,32,13,10000000,
23054,610,5,6,9,10,15,26,12,7183225,
23053,420,1,7,14,20,27,30,15,7019136,
23052,179,3,4,5,8,12,17,6,5845032,
23051,95,22,26,29,30,32,33,14,10000000,
23050,115,2,7,9,14,22,23,5,7819387,
23049,170,5,7,14,23,25,27,2,7565507,
23048,158,2,3,10,24,28,30,8,5884125,
23047,123,5,7,14,23,31,33,7,5105543,
23046,121,6,8,17,25,26,28,3,9222467,
23045,240,3,6,12,21,27,28,4,6523427,
23044,99,2,8,15,22,24,26,16,7544791,
23043,228,5,8,12,20,24,28,10,5909465,
23042,224,10,17,20,23,27,30,10,6650718,
23041,118,1,6,12,13,15,24,6,10000000,
23040,165,9,16,17,24,29,31,8,9001506,
23039,191,2,3,9,13,19,28,9,8903432,
23038,135,2,9,14,17,31,33,8,6553875,
23037,115,8,23,25,26,29,31,12,5978413,
23036,271,13,14,18,19,24,30,9,5566068,
23035,100,1,4,9,10,20,33,6,6874671,
23034,146,2,3,9,11,12,17,15,9140109,
23033,240,8,9,13,23,24,26,5,9565190,
23032,142,6,19,20,26,28,33,1,6158718,
23031,309,7,14,27,29,31,33,5,10000000,
23030,78,2,3,7,16,30,31,6,7680189,
23029,173,3,7,12,24,28,33,8,8837568,
23028,151,5,7,10,17,20,22,14,10000000,
23027,88,8,10,22,27,32,33,8,8409682,
23026,98,1,18,26,30,31,33,3,6934784,
23025,118,4,16,20,21,31,32,14,6974384,
23024,487,3,6,9,17,27,28,3,5993974,
23023,258,5,8,10,15,24,25,9,5000000,
23022,112,10,11,18,19,23,31,3,10000000,
23021,186,2,5,6,19,21,27,4,6115562,
23020,92,1,12,17,18,26,27,5,10000000,
23019,110,6,12,26,28,29,32,15,8309157,
23018,380,10,12,17,19,25,31,13,10000000,
23017,195,5,11,18,20,26,28,12,8173990,
23016,79,14,16,19,23,28,30,3,10000000,
23015,195,2,3,14,21,29,32,8,6277056,
23014,147,6,7,18,23,27,30,5,8496068,
23013,81,6,10,14,22,23,33,13,10000000,
23012,270,3,4,7,22,26,30,6,6444594,
23011,252,6,7,16,17,21,22,4,6177691,
23010,220,4,5,13,18,27,29,12,6879623,
23009,225,3,4,19,23,30,32,6,10000000,
23008,146,5,13,18,20,26,28,6,7109708,
23007,160,5,6,9,22,25,31,3,10000000,
23006,109,2,10,12,14,24,26,5,6407426,
23005,153,2,6,8,13,14,19,16,10000000,
23004,166,1,7,15,16,20,25,16,7480475,
23003,112,5,8,18,25,30,32,6,7009723,
23002,164,2,6,10,16,18,22,13,8064366,
23001,135,9,16,18,22,28,32,2,7738461,
22150,203,1,7,11,12,22,28,5,6598391,
22149,94,2,22,26,29,32,33,14,8014411,
22148,72,2,15,16,17,21,31,14,7166343,
22147,148,2,3,7,13,20,30,10,5619498,
22146,391,6,7,13,18,26,31,6,6501941,
22145,68,3,21,25,30,31,33,11,10000000,
22144,65,7,20,22,23,31,32,5,6900814,
22143,149,7,8,13,29,30,33,3,6243187,
22142,122,1,3,13,16,21,27,3,5674258,
22141,135,5,12,13,17,20,27,14,6324820,
22140,673,8,9,18,19,20,27,15,5889308,
22139,443,6,7,9,16,17,19,14,7006326,
22138,67,2,14,19,21,25,28,11,10000000,
22137,160,8,21,23,27,28,33,1,7627191,
22136,122,8,10,14,15,18,22,8,5761544,
