issue_number,draw_date,red_ball_1,red_ball_2,red_ball_3,red_ball_4,red_ball_5,blue_ball_1,blue_ball_2,sales_amount,jackpot_amount
24078,"87,283",5,7,10,14,15,4,7,115,1008923164
24077,"156,312",1,3,25,26,29,6,12,89,1038326615
24076,"125,651",1,6,22,27,35,7,12,86,1020815446
24075,"179,582",8,17,26,28,32,1,10,71,1018960255
24074,"89,477",2,10,11,21,27,9,11,149,982548557
24073,"73,811",7,9,12,21,23,5,9,144,975514514
24072,"299,976",4,17,21,23,32,1,6,50,983268734
24071,"208,366",6,10,15,34,35,2,10,73,915626816
24070,"191,527",4,20,21,32,34,2,9,71,853967599
24069,"46,671",7,9,16,20,24,3,7,209,861827970
24068,"143,076",15,20,31,32,33,5,10,93,856579361
24067,"44,822",3,11,14,20,22,6,9,216,887419662
24066,"73,056",13,19,20,24,25,6,7,153,913263902
24065,"41,325",5,10,18,26,27,3,6,360,921687696
24064,"109,189",5,12,21,32,33,8,9,121,962849744
24063,"290,678",7,12,16,33,34,1,3,52,973735264
24062,"187,908",5,14,15,16,33,3,5,78,1026874292
24061,"191,462",1,12,19,31,33,5,8,70,1010655904
24060,"249,663",3,21,25,28,30,1,12,67,972277349
24059,"210,693",17,18,20,25,31,3,12,79,931975708
24058,"194,302",6,10,13,20,32,1,2,80,870850889
24057,"226,747",9,25,30,33,34,3,9,64,800308582
24056,"109,224",16,17,18,27,35,6,12,120,843912893
24055,"221,453",7,17,22,30,34,5,7,62,863670781
24054,"76,457",5,6,9,11,22,1,3,176,832891427
24053,"37,147",1,7,19,20,35,3,9,293,830363706
24052,"167,577",2,3,13,22,34,4,8,84,889972405
24051,"178,405",5,21,22,23,29,1,2,84,873151022
24050,"68,402",3,4,14,18,26,7,9,165,815223578
24049,"136,026",4,6,9,10,22,1,8,92,797733183
24048,"95,120",12,18,21,26,28,8,9,116,778092485
24047,"102,166",11,19,21,26,35,10,11,140,778752831
24046,"68,859",6,12,17,29,30,7,11,171,719960457
24045,"53,044",9,10,14,31,32,3,8,245,849701017
24044,"234,449",3,13,15,17,22,6,10,71,899843309
24043,"149,543",3,4,8,14,27,5,7,93,913546496
24042,"207,584",1,8,15,23,35,5,12,84,922909347
24041,"89,598",6,8,14,16,28,3,5,166,876124219
24040,"114,513",5,12,16,29,30,3,6,123,907166367
24039,"113,233",3,10,11,20,22,6,10,133,931378507
24038,"209,195",15,22,24,25,29,1,5,85,911253520
24037,"215,860",17,19,20,29,35,7,11,62,927354951
24036,"203,395",2,5,11,32,34,6,10,77,918965535
24035,"212,457",5,13,17,29,33,5,12,85,926324125
24034,"135,025",23,26,27,29,33,5,8,101,912961631
